WO-MRR NUM,IS REWORK,PROD_CDE,HOURS BLAST TO PREP,PREP DAY,PREP SHIFT,PREP H,PREP QTY,PREP ASSOCIATE,PREP QTY IN THE SHIFT,PREPED IN THE SHIFT SO FAR,HOURS PREP TO FUR,FURN,HAS SCRAP AT SINTER,ASSOCIATE AXPERIENCE,Prep week,Has MRR
9603086-,0,PINN_PORO,3096,2,1,22,10,152868302,117,97,264,FURN0004,1,2,9,0
9636175-,0,DX_EP_OP10,48,7,2,3,10,152868303,22,0,72,FURN0004,1,2,2,1
9641431-,0,PINN_PORO,1272,3,2,9,8,152834263,110,92,96,FURN0004,1,2,2,0
9648380-,0,DX_EP_OP10,312,6,2,8,12,152867385,30,7,216,FURN0004,0,1,53,0
9648408-,0,DX_EP_OP10,120,6,2,11,12,152868303,34,22,216,FURN0004,1,1,53,0
9648510-,0,PIN_GRIP_P,1392,1,1,20,10,152051910,118,71,0,FURN0007,1,3,6,0
9648818-,0,PINN_PORO,1536,2,1,17,10,152834263,93,70,264,FURN0004,1,2,9,0
9650314-,0,PIN_GRIP_P,1392,1,1,17,10,152051910,118,51,0,FURN0007,1,3,6,0
9650407-,0,PINN_PORO,192,2,2,5,10,152059403,80,0,24,FURN0004,0,2,1,0
9650408-,0,PINN_PORO,720,3,2,6,10,152059403,20,10,48,FURN0005,1,2,4,0
9654275-,0,PINN_PORO,24,2,2,6,10,152061442,129,50,192,FURN0004,1,2,4,0
9654328-,0,PINN_PORO,1536,2,1,21,9,152868302,117,88,312,FURN0005,0,2,9,0
9654329-,0,PINN_PORO,720,3,2,10,10,152848008,86,76,96,FURN0006,0,2,4,0
9654337-,0,PINN_PORO,0,5,2,10,10,152834263,110,100,48,FURN0006,0,2,2,0
9654350-,0,PINN_PORO,312,6,2,5,10,152861369,118,50,24,FURN0006,0,2,2,0
9655061-,0,PINN_PORO,624,1,1,13,10,152834263,110,0,48,FURN0004,0,2,3,0
9655064-,0,PINN_PORO,336,2,1,13,9,152061442,129,0,264,FURN0004,1,3,9,0
9655065-,0,PINN_PORO,624,1,1,13,10,152834263,110,10,384,FURN0004,1,2,3,0
9655071-,0,PINN_PORO,576,4,2,1,10,57000763,100,10,0,FURN0006,0,2,3,0
9655083-,0,PINN_PORO,792,2,2,7,10,152806978,120,40,0,FURN0006,1,2,3,0
9657978-,0,PIN_GRIP_P,1008,5,2,7,10,152072361,98,50,72,FURN0007,1,2,3,0
9658073-,0,PINN_PORO,0,1,1,22,10,57000763,100,90,24,FURN0006,1,2,4,0
9658093-,0,PINN_PORO,504,4,1,19,10,152061442,131,81,264,FURN0006,0,2,1,0
9658111-,0,PINN_PORO,96,5,2,2,10,152861369,93,10,0,FURN0006,0,2,1,0
9658250-,0,GUIMB_PORO,456,2,2,11,18,152058678,18,0,48,FURN0006,1,1,1,0
9659068-,0,PINN_PORO,72,6,2,7,10,152861369,114,60,168,FURN0006,1,2,53,1
