WO-MRR NUM,IS REWORK,PROD_CDE,HOURS BLAST TO PREP,PREP DAY,PREP SHIFT,PREP H,PREP QTY,PREP ASSOCIATE,PREP QTY IN THE SHIFT,PREPED IN THE SHIFT SO FAR,HOURS PREP TO FUR,FURN,HAS SCRAP AT SINTER,ASSOCIATE AXPERIENCE,Prep week,Has MRR
9643035-,0,PINN_PORO,1224,3,2,3,10,152848005,20,0,0,FURN0006,0,2,1,0
9644137-,0,PINN_PORO,264,5,1,19,9,152852517,66,47,24,FURN0006,0,2,1,0
9648383-,0,DX_EP_OP10,312,7,2,4,12,152867385,36,2,24,FURN0004,0,1,1,0
9648386-1430428,1,DX_EP_OP10,408,6,2,11,4,152868303,44,48,48,FURN0004,1,1,1,1
9648404-1430351,1,DX_EP_OP10,480,6,2,3,4,152868303,44,20,48,FURN0004,1,1,1,1
9648406-,0,DX_EP_OP10,0,2,2,3,11,152868303,30,0,144,FURN0004,0,1,1,1
9648763-,0,PINN_PORO,120,5,2,6,10,152861369,93,50,24,FURN0006,0,2,1,0
9648773-,0,PINN_PORO,1056,4,2,11,10,152046736,10,0,24,FURN0004,0,1,1,0
9648825-,0,PINN_PORO,696,2,2,10,10,152059403,80,70,48,FURN0006,0,2,1,0
9650380-,0,PINN_PORO,264,5,1,14,7,152852517,66,0,24,FURN0006,0,2,1,0
9650388-,0,PINN_PORO,168,1,2,7,10,152834263,99,69,72,FURN0006,0,2,1,1
9650405-,0,PINN_PORO,888,2,2,8,10,152059403,80,50,24,FURN0004,0,2,1,0
9650407-,0,PINN_PORO,192,2,2,5,10,152059403,80,0,24,FURN0004,0,2,1,0
9650414-,0,PINN_PORO,384,1,2,10,10,152059403,70,60,192,FURN0006,0,2,1,0
9650423-,0,PINN_PORO,0,2,2,4,10,152061442,131,51,0,FURN0006,0,2,1,0
9650424-,0,PINN_PORO,0,2,2,10,10,152059403,80,60,0,FURN0006,0,2,1,0
9650430-,0,PINN_PORO,24,1,2,4,10,152061442,119,49,72,FURN0006,0,2,1,0
9654263-,0,PINN_PORO,432,5,1,14,9,152061442,93,24,24,FURN0006,0,2,1,0
9654277-,0,PINN_PORO,48,5,2,7,10,152861369,93,60,0,FURN0004,0,2,1,0
9654321-,0,PINN_PORO,384,1,2,7,10,152059403,70,20,72,FURN0006,0,2,1,0
9654326-,0,PINN_PORO,192,2,2,5,10,152059403,80,10,24,FURN0004,0,2,1,1
9654345-,0,PINN_PORO,72,4,1,20,10,152834263,110,70,96,FURN0006,0,2,1,0
9654377-,0,PINN_PORO,0,2,2,8,10,152834263,107,67,0,FURN0006,0,2,1,0
9655074-,0,PINN_PORO,168,1,2,7,9,152834263,99,60,96,FURN0006,0,2,1,0
9658093-,0,PINN_PORO,504,4,1,19,10,152061442,131,81,264,FURN0006,0,2,1,0
9658094-,0,PINN_PORO,120,4,1,15,10,152061442,131,31,24,FURN0006,0,2,1,0
9658097-,0,PINN_PORO,24,5,2,10,10,152859275,40,30,48,FURN0006,0,0,1,1
9658102-,0,PINN_PORO,72,4,2,2,10,152861369,110,10,72,FURN0006,0,2,1,1
9658110-,0,PINN_PORO,96,5,2,0,10,152861369,93,0,0,FURN0006,0,2,1,0
9658111-,0,PINN_PORO,96,5,2,2,10,152861369,93,10,0,FURN0006,0,2,1,0
9658115-,0,PINN_PORO,120,1,2,10,10,152059403,70,50,72,FURN0006,0,2,1,0
9658120-,0,PINN_PORO,24,2,2,5,10,152059403,80,20,24,FURN0004,0,2,1,1
9658124-,0,PINN_PORO,96,7,2,9,10,152859275,40,30,192,FURN0006,0,1,1,1
9658196-1430268,1,PINN_PORO,552,2,2,10,1,152852517,11,21,48,FURN0006,0,2,1,1
9658250-,0,GUIMB_PORO,456,2,2,11,18,152058678,18,0,48,FURN0006,1,1,1,0
9658258-1429636,1,GU_AN10_B,576,5,2,1,4,152872541,67,10,0,FURN0006,0,2,1,1
9658259-,0,GU_AN10_B,552,4,2,10,17,152872541,42,22,0,FURN0006,0,2,1,0
9659077-,0,PINN_PORO,0,2,2,9,10,152061442,131,101,48,FURN0006,0,2,1,0
9659083-,0,PINN_PORO,552,7,2,2,10,152861369,110,10,0,FURN0006,0,2,1,0
9659088-,0,PINN_PORO,24,2,2,1,10,152061442,131,11,24,FURN0006,0,2,1,0
9659092-,0,PINN_PORO,24,3,2,8,10,152861369,52,32,0,FURN0004,0,2,1,0
9659096-,0,PINN_PORO,72,4,2,6,10,152861369,110,50,0,FURN0006,0,2,1,1
9659097-,0,PINN_PORO,48,4,2,10,10,152861369,110,80,24,FURN0006,1,2,1,0
9659098-,0,PINN_PORO,48,6,2,1,10,152861369,120,0,24,FURN0006,0,2,1,0
9659107-,0,PINN_PORO,216,5,2,7,10,152859275,40,20,24,FURN0006,1,0,1,1
9659110-,0,PINN_PORO,96,4,2,0,10,152861369,110,0,72,FURN0006,0,2,1,0
9659111-,0,PINN_PORO,48,3,2,9,10,152861369,52,42,0,FURN0004,0,2,1,0
9659114-,0,PINN_PORO,144,5,2,4,10,152872541,67,34,24,FURN0006,0,2,1,1
9659115-,0,PINN_PORO,72,5,2,3,10,152872541,67,24,0,FURN0004,0,2,1,0
9659132-,0,PINN_PORO,24,1,2,2,10,152834263,99,20,24,FURN0004,0,2,1,0
9659154-,0,PINN_PORO,384,1,2,7,10,152059403,70,10,72,FURN0006,0,2,1,0
9659157-,0,PINN_PORO,0,1,2,10,10,152834263,99,89,384,FURN0004,0,2,1,0
9659160-,0,PINN_PORO,0,2,2,8,10,152059403,80,40,48,FURN0006,0,2,1,0
9659162-,0,PINN_PORO,0,2,2,6,10,152061442,131,61,24,FURN0004,0,2,1,1
9659162-1431275,1,PINN_PORO,72,5,2,11,3,152061442,93,0,24,FURN0006,1,2,1,1
9659163-,0,PINN_PORO,96,4,2,10,10,152861369,110,90,24,FURN0006,0,2,1,0
9659169-,0,PINN_PORO,120,1,2,3,10,152061442,119,29,144,FURN0006,0,2,1,0
9659178-,0,PINN_PORO,0,2,2,8,10,152834263,107,77,0,FURN0006,0,2,1,0
9659183-,0,PINN_PORO,0,2,2,7,10,152834263,107,57,24,FURN0004,0,2,1,0
9660152-,0,PIN_GRIP_P,480,3,1,13,10,152072361,100,10,24,FURN0007,0,2,1,0
9660214-,0,PINN_PORO,432,3,2,8,10,152861369,52,22,24,FURN0006,0,2,1,0
9660224-,0,PINN_PORO,96,5,1,19,10,152834263,70,30,24,FURN0006,0,2,1,0
9660225-,0,PINN_PORO,216,5,2,3,10,152861369,93,20,0,FURN0004,0,2,1,0
9660228-,0,PINN_PORO,192,4,2,10,10,152861369,110,100,72,FURN0006,0,2,1,1
9660229-,0,PINN_PORO,48,4,2,3,10,152861369,110,30,240,FURN0004,0,2,1,0
9660237-,0,PINN_PORO,120,5,2,5,10,152861369,93,40,0,FURN0004,0,2,1,0
9660238-1431493,1,PINN_PORO,408,5,1,23,2,152861369,93,91,24,FURN0006,0,2,1,1
9660239-,0,PINN_PORO,24,4,2,8,10,152861369,110,70,,FURN0006,0,2,1,0
9660242-,0,PINN_PORO,72,5,1,14,10,152852517,66,0,24,FURN0006,0,2,1,0
9660251-,0,PINN_PORO,48,3,2,5,10,152059403,30,20,144,FURN0006,1,2,1,0
9660257-,0,PINN_PORO,24,4,1,23,10,152834263,110,90,48,FURN0006,0,2,1,0
9660260-,0,PINN_PORO,0,2,2,7,10,152059403,80,30,24,FURN0004,0,2,1,0
9660261-,0,PINN_PORO,48,1,2,4,10,152834263,99,40,24,FURN0006,0,2,1,0
9660262-,0,PINN_PORO,24,3,2,4,10,152059403,30,0,0,FURN0004,0,2,1,0
